lang,model,task,mean macro f1,std macro f1
en,bert-base-uncased,emotion,42.73247182369232,0.6081278355016139
en,bert-base-uncased,hate_speech,55.966784358024604,0.7761149998709129
en,bert-base-uncased,irony,68.11051726341248,2.194008305673429
en,bert-base-uncased,sentiment,69.56615328788757,0.3897550283228013
en,google/electra-base-discriminator,emotion,37.19519029061,2.933112291803766
en,google/electra-base-discriminator,hate_speech,55.56614473462105,0.5900120361175782
en,google/electra-base-discriminator,irony,71.26548422707451,1.8297076361023332
en,google/electra-base-discriminator,sentiment,70.94862535595894,0.44220515820733103
en,pysentimiento/robertuito-base-uncased,emotion,43.0360934138298,3.3222893274538383
en,pysentimiento/robertuito-base-uncased,hate_speech,57.52481520175934,0.2407453447946086
en,pysentimiento/robertuito-base-uncased,irony,73.94300235642326,1.3987050231000986
en,pysentimiento/robertuito-base-uncased,sentiment,69.61811602115631,0.5174072785233064
en,roberta-base,emotion,45.0482177734375,0.9116061173924677
en,roberta-base,hate_speech,55.102649331092834,0.3613249121519271
en,roberta-base,irony,70.38837340142992,2.916009633703528
en,roberta-base,sentiment,70.39363145828247,0.3054790750322797
en,vinai/bertweet-base,emotion,43.12381446361542,1.767333211171989
en,vinai/bertweet-base,hate_speech,57.72765815258026,0.6865878481736352
en,vinai/bertweet-base,irony,80.76638102531433,0.706470653307684
en,vinai/bertweet-base,sentiment,72.04255044460297,0.35160406497792723
es,PlanTL-GOB-ES/roberta-base-bne,emotion,53.108637983148746,2.2411756659150397
es,PlanTL-GOB-ES/roberta-base-bne,hate_speech,73.07666540145874,2.7520512507963106
es,PlanTL-GOB-ES/roberta-base-bne,irony,71.90038681030273,0.8532173835989902
es,PlanTL-GOB-ES/roberta-base-bne,sentiment,67.32724249362946,0.2593806283693046
es,bertin-project/bertin-roberta-base-spanish,emotion,50.179562270641334,2.937297591139834
es,bertin-project/bertin-roberta-base-spanish,hate_speech,68.71949017047882,1.4548268184077962
es,bertin-project/bertin-roberta-base-spanish,irony,69.31252777576447,1.3939094127541347
es,bertin-project/bertin-roberta-base-spanish,sentiment,65.26135981082916,0.5337748410499565
es,dccuchile/bert-base-spanish-wwm-cased,emotion,52.157550752162926,1.3623334986836522
es,dccuchile/bert-base-spanish-wwm-cased,hate_speech,73.29564869403839,0.8484534594275583
es,dccuchile/bert-base-spanish-wwm-cased,irony,71.47645950317383,0.5472559277775453
es,dccuchile/bert-base-spanish-wwm-cased,sentiment,67.22280979156494,0.5615531391277648
es,mrm8488/electricidad-base-discriminator,emotion,46.292695701122284,2.2756635570413843
es,mrm8488/electricidad-base-discriminator,hate_speech,71.83211048444113,0.9791583934611954
es,mrm8488/electricidad-base-discriminator,irony,67.0680907037523,2.0628980701794104
es,mrm8488/electricidad-base-discriminator,sentiment,65.34535752402412,0.5230142429859025
es,pysentimiento/robertuito-base-uncased,emotion,55.294351577758796,0.838795519798851
es,pysentimiento/robertuito-base-uncased,hate_speech,76.05883717536926,0.528594651640131
es,pysentimiento/robertuito-base-uncased,irony,74.07301366329193,0.6883313564506375
es,pysentimiento/robertuito-base-uncased,sentiment,70.22898859447903,0.15001467761595066
